citekey,metric,value,units,measured_against,page
chen2026medchem,"AF3/Boltz-2 pose recovery, allosteric","""generally failed to reproduce the correct allosteric binding modes""; **exactly one exception (31, SHP2 fragment)** — **no success count given**",—,entries 26–31,p17
chen2026medchem,"Covalent C–S–C bond angle, experimental (8UVM)",130.8,degrees,X-ray reference,p26
chen2026medchem,"Covalent C–S–C bond angle, AF3",162.2 (mean of 10 models),degrees,vs 130.8° experimental,p26
chen2026medchem,"Covalent C–S–C bond angle, AF3 (restated in §14)",**161.7** — **inconsistent with the 162.2° on p26; the paper never reconciles the two**,degrees,vs 130.8° experimental,p41
chen2026medchem,"Covalent C–S–C bond angle, Boltz-2",125.8 (mean),degrees,vs 130.8° experimental,p27
chen2026medchem,Typical C–S–C reference range cited,~101–109,degrees,chemical expectation,p26
chen2026medchem,"RNA pose recovery, best cases",entry 58 (risdiplam) 1.73; entry 60 (SMN-CX) 2.35,Å overall RMSD,RNA–ligand references,p31
chen2026medchem,"RNA pose recovery, failed cases",entry 59 (ANP77/G2C4) 16.73; entry 61 (8ZNQ) 10.88,Å overall RMSD,RNA–ligand references,p31
chen2026medchem,AF3 minPAE vs overall ligand RMSD (pooled),Pearson r = 0.665; Spearman r = 0.758,correlation,83 complexes,p33
chen2026medchem,AF3 ipTM and Boltz-2 ipTM vs overall RMSD,"""negatively correlated … with stronger correlations by Spearman than by Pearson"" — **no r values given for either**",—,83 complexes,p33
chen2026medchem,Within-modality confidence vs RMSD,"""no subclass showed a consistently strong relationship"" — **no r values given**",—,Figs S12–S21 (**not in this PDF**),p33
chen2026medchem,AF3 minPAE bins → fraction with pharmacophore RMSD < 1.5 Å,100% (22/22) <0.85 Å; 72.7% (8/11) 0.85–1.0; 61.5% (8/13) 1.0–1.5; 42.9% (3/7) 1.5–2.0; 3.3% (1/30) >2.0,% (n/N),83 complexes,"p33, p35"
chen2026medchem,AF3 minPAE bins → fraction with overall RMSD accurate,81.8% (18/22); 45.5% (5/11); 30.8% (4/13); 14.3% (1/7); 6.7% (2/30) across the same bins,% (n/N),83 complexes,p33
chen2026medchem,AF3 ipTM bins → fraction with pharmacophore RMSD < 1.5 Å,88.9% (24/27) >0.95; 45.5% (10/22) 0.90–0.95; 50.0% (4/8) 0.80–0.90; 20.0% (2/10) 0.70–0.80; 12.5% (2/16) <0.70,% (n/N),83 complexes,"p36, p35"
chen2026medchem,Boltz-2 ipTM bins → fraction with pharmacophore RMSD < 1.5 Å,68.6% (24/35) >0.95; **6.7% (1/15) 0.90–0.95**; 33.3% (4/12) 0.80–0.90; 28.6% (2/7) 0.70–0.80; 7.1% (1/14) <0.70 — **non-monotonic**,% (n/N),83 complexes,"p36, p35"
chen2026medchem,"Fraction of predictions with minPAE < 0.85 Å, per modality",sEH **0%**; canonical orthosteric 73.7%; allosteric 28.6%; PPI 11.1%; PROTAC 10.0%; molecular glue **0%**; covalent 62.5%; membrane protein **0%**; RNA **0%**; fragment **0%**; E3 ligase ligand **0%**,%,Fig S22 (**not in this PDF**),p34
chen2026medchem,"Boltz-2 predicted affinity vs experimental IC50, sEH series","Pearson r = **−0.4770**, P = 0.3387; Spearman r = **−0.3714**, P = 0.4972; residual SD = 0.6101 — **wrong sign and non-significant**",correlation,"n = 6 sEH inhibitors, IC50 range 0.009–0.115 μM",p37 (Fig 16A)
chen2026medchem,"Boltz-2 predicted affinity vs experimental activity, Mpro series","Pearson r = 0.742, P = 0.0002; Spearman r = 0.695, P = 0.0007; residual SD = 0.63 log units",correlation,"n = 20 Mpro complexes, single study",p38
chen2026medchem,"Experimental activity range, Mpro set",log10[IC50 (μM)] from −1.70 to 1.98 (≈3.7 log units),log10 μM,20 Mpro complexes,p38
chen2026medchem,AF3 minPAE vs experimental activity,"""no clear correlation was observed"" — **no r value given**",—,Fig S27 (**not in this PDF**),p38
chen2026medchem,"**Activity cliff — Boltz-2 predicted affinity, S-thalidomide**",**1.7**,μM (predicted),vs the N-methyl analog,"p40, p39 (Fig 18B)"
chen2026medchem,"**Activity cliff — Boltz-2 predicted affinity, N-methyl-S-thalidomide**",**37.2**,μM (predicted),"vs S-thalidomide; ≈22-fold separation, correct direction","p40, p39 (Fig 18B)"
chen2026medchem,**Activity cliff — AF3 minPAE**,**0.91 → 1.64** (active → inactive),Å,within-pair change,p39
chen2026medchem,**Activity cliff — Boltz-2 ipTM**,**0.99 vs 0.98** — essentially unchanged,dimensionless,within-pair change,p39
chen2026medchem,**Activity cliff — steric clash in the inactive analog pose**,"~**2.0** interatomic contact, shorter than the summed van der Waals radii, generated by **both** models",Å,"Fig 18C (AF3), 18D (Boltz-2)",p39
chen2026medchem,**Activity cliff — experimental activity of either compound**,"**NOT REPORTED.** No IC50, Kd, degradation or binding value is given for S-thalidomide or for N-methyl-S-thalidomide; inactivity is asserted from refs 80–81 as ""expected""",—,—,p38–39
chen2026medchem,Sampling depth,"10 predictions per complex per model; AF3 = 2 seeds (10, 42) × 5 predictions",count,protocol,p44
chen2026medchem,Hardware,NVIDIA RTX 4090 (24 GB) and RTX PRO 6000 (96 GB),—,protocol,p44
chib2025gpcrstates,"Average deformation, AF2, full range over the set",0.25 – 2,Å,"75 deposited PDB reference structures, 7-TM CA mean after PyMOL `align`","p8 (text), Fig 2a"
chib2025gpcrstates,"Average deformation, AF3, full range over the set",~0.8 – 6,Å,"same references, same metric","p8 (text: ""extending from approximately 0.8Å to 6Å""), Fig 2b"
chib2025gpcrstates,"∆H3-H6, AF2, observed range",~0.0 – 1.1,nm,\|d_ref − d_pred\| of the TM3/TM6 third-to-last CA pair,"Fig 2c, p8 (read from render; not stated in text)"
chib2025gpcrstates,"∆H3-H6, AF3, observed range",~0.0 – 1.15,nm,same,"Fig 2d, p8 (read from render; not stated in text)"
chib2025gpcrstates,"H3-H6 distance, A2A reference",1.51,nm,"the deposited A2A structure itself (raw, not a difference)","Fig S1, p22"
chib2025gpcrstates,"H3-H6 distance, A2A, AF2 prediction",1.48,nm,∆ = 0.03 nm vs reference,"Fig S1, p22"
chib2025gpcrstates,"H3-H6 distance, A2A, AF3 prediction",1.36,nm,∆ = 0.15 nm vs reference,"Fig S1, p22"
chib2025gpcrstates,"Sequence overlap ratio, AF2 (AFDB) models vs references",> 96,%,"`Length of Overlapping Sequence / Length of Reference Sequence`, Biopython global alignment","p6; SI §1, p20–21"
chib2025gpcrstates,"Sequence identity, AF3 models vs references",100 (identical),—,"stated, not measured","SI §1, p21"
chib2025gpcrstates,Activity level axis span of the reference set,0 – 100,%,GPCRdb annotation of each reference,"p5, p6; Fig 2 x-axis"
chib2025gpcrstates,"Deformation colourbar span, AF2 t-SNE (16-receptor subset)",0.50 – ~1.85,Å,"as Metric 1, on the 16-receptor GPCR-BERT subset","Fig 3a, p9 (read from render)"
chib2025gpcrstates,"Deformation colourbar span, AF3 t-SNE (16-receptor subset)",~1.4 – ~3.7,Å,as above,"Fig 3b, p9 (read from render)"
chib2025gpcrstates,Receptor set composition,63 A / 6 B1 / 4 C / 2 F = 75,receptors,PDB + GPCRdb,p6
chib2025gpcrstates,t-SNE subset size,16,receptors (~90 plotted points),GPCR-BERT embedding set,"SI §4, p23; Fig S2, p24"
chib2025gpcrstates,"Best / worst receptor, AF2",best A2A / worst dopamine D1,—,lowest / highest average deformation,"p9, p11"
chib2025gpcrstates,"Best / worst receptor, AF3",best A2A / worst serotonin 2A,—,lowest / highest average deformation,"p9, p11"
chiesa2025templatebias,Benchmark size,63 unique GPCR–Gα pairs / 145 experimental structures,count,post-01 Jan 2023 release,p6302
chiesa2025templatebias,Receptors / families covered,55 receptors / 31 families,count,GPCRdb classification,p6302
chiesa2025templatebias,Structures with no template and not in training,94 of 145,count,AF2 and AFM cutoffs,p6302
chiesa2025templatebias,Receptor families absent from templates and all training,6,count,—,p6302
chiesa2025templatebias,Structures with receptor bound to G protein only (no ligand),16 of 145,count,—,p6302
chiesa2025templatebias,DockQ quality distribution,107 medium / 34 acceptable / 2 high,count,receptor–Gα interface,p6302
chiesa2025templatebias,Binding-site side-chain criterion,all heavy-atom RMSD < 2 Å,Å,per-residue vs reference,p6303
chiesa2025templatebias,Class A structures in GPCRdb at study time,1022 structures / 161 receptors / 49 families,count,GPCRdb 16 Jul 2024,p6302
chitsazi2025gpcrdock4,Participating groups,"45 (49 registered; 1 withdrew, 3 pairs merged)",groups,—,"p6, p21"
chitsazi2025gpcrdock4,Countries represented,14,countries,Supp. Fig. 2A (not held),p6
chitsazi2025gpcrdock4,Models submitted,904,models,—,p6
chitsazi2025gpcrdock4,Models uninterpretable and removed,18,models,"no ligand / no receptor / clash penalty sum > 3,000","p6, p21–p22"
chitsazi2025gpcrdock4,"Models assessed, per target",206 / 198 / 175 / 155 / 152 (APJ / GPR139 / OPRK / NPY1R / NMUR2); total 886,models,—,"p6, p21"
chitsazi2025gpcrdock4,"**Best correctness, APJ/Cmpd6**","**0.61%** (SDU-Yang, APJ-1912-0005)",percentile of high-res X-ray pair distribution,"unpublished ShanghaiTech APJ/Cmpd6 X-ray, 2.40 Å",p7
chitsazi2025gpcrdock4,Best APJ ligand RMSD / contacts,3.47 Å / 31.3%,Å / % correct contacts,same,p7
chitsazi2025gpcrdock4,"Best correctness, APJ vs CMF-019 MCS","**5%** (KIST-Park, APJ-8824-0001); ≥5 more models above 1%",percentile,"PDB 8XZI (CMF-019, 2.70 Å cryo-EM)",p7
chitsazi2025gpcrdock4,Best APJ MCS RMSD / contacts vs 8XZI,1.18 Å / 51.2%,Å / %,PDB 8XZI,p7
chitsazi2025gpcrdock4,"**Best correctness, GPR139/JNJ-63533054**","**2.50%** (UW-DiMiao, GPR139-2717-0003)",percentile,"PDB 7VUG, 3.20 Å",p7
chitsazi2025gpcrdock4,Best GPR139 ligand RMSD / contacts,2.05 Å / 47.80%,Å / %,PDB 7VUG,p7
chitsazi2025gpcrdock4,"Best correctness, GPR139 vs alternative","1.45% (1.41% for GPR139-8824-0005, KIST-Park, 2.08 Å / 34.74%)",percentile,"PDB 7VUH, 3.22 Å","p13, p7"
chitsazi2025gpcrdock4,"**Best correctness, OPRK/dynorphin (aa 1–8)**","**0.7%** (SIAT-Yuan, OPRK-8407-0003); 0.59% (Uppsala-Carlsson, OPRK-2736-0004)",percentile,"PDB 8F7W, 3.19 Å",p8
chitsazi2025gpcrdock4,Best OPRK RMSD / contacts (aa 1–8),2.96 Å / 28.55%; second 3.40 Å / 29.45%,Å / %,PDB 8F7W,p8
chitsazi2025gpcrdock4,"Best correctness, OPRK vs 7Y1F","0.24% (model 8321-0003), 4.03 Å, 14.4%",percentile / Å / %,"PDB 7Y1F, 3.20 Å",p8
chitsazi2025gpcrdock4,"**Best correctness, OPRK restricted to aa 1–5 (Leu-enkephalin)**","**2.88%** (OPRK-8407-0003, 1.79 Å, 47.3%) vs 8F7W; 1.06% (OPRK-8669-0003, 2.08 Å, 28.34%) vs 7Y1F",percentile,PDB 8F7W / 7Y1F,p8
chitsazi2025gpcrdock4,"**Best correctness, NPY1R/NPY (aa 21–36)**","**1.32%** (MSU-Feig, NPY1R-3601-0005)",percentile,"PDB 7X9A, 3.20 Å",p8
chitsazi2025gpcrdock4,Best NPY1R RMSD / contacts,1.99 Å / 32.12%,Å / %,PDB 7X9A,p8
chitsazi2025gpcrdock4,"Best correctness, NPY1R vs 7VGX",1.44%; **11 models ≥1%**,percentile,"PDB 7VGX, 3.20 Å","p13, p8"
chitsazi2025gpcrdock4,"Distribution, NPY1R models",~half of submitted models at 2–4 Å ligand-core RMSD; bimodal correctness distribution,Å,PDB 7X9A,"p8, p10"
chitsazi2025gpcrdock4,"**Best correctness, NMUR2/NMU25 (aa 18–25)**","**3.91%** (ShanghaiTech-Bai, NMUR2-7750-0004) — the highest of any target",percentile,"PDB 7W55, 2.80 Å",p9
chitsazi2025gpcrdock4,Best NMUR2 RMSD / contacts,1.5 Å / 50.21%,Å / %,PDB 7W55,p9
chitsazi2025gpcrdock4,"Best correctness, NMUR2 vs 7XK8 / pre-7XK8",0.42%–0.48% only,percentile,"PDB 7XK8, 3.30 Å","p9, p13"
chitsazi2025gpcrdock4,"**AF2 use, % of models with methods**",40.7 / 68.4 / 54.7 / 82.4 / 84.3 (APJ / GPR139 / OPRK / NPY1R / NMUR2),%,Table 3,"p11, p20"
chitsazi2025gpcrdock4,"**AF2 use, % of all submitted models**",30.3 / 53.5 / 41.2 / 63.2 / 63.8,%,Table 3,p20
chitsazi2025gpcrdock4,AF apo vs AF complex (co-folding) split,"APJ 61/0, GPR139 106/0, OPRK 61/9, NPY1R 36/62, NMUR2 31/66",models,Table 3,p20
chitsazi2025gpcrdock4,Models with methods reported,"150/201, 155/198, 128/170, 119/155, 115/152",models,Table 3,"p11, p20"
chitsazi2025gpcrdock4,**APJ by method — docking into an existing PDB structure**,best correctness **0.22%** (86 models) vs X-ray; 1.3% vs 8XZI,percentile,Fig 5A / Supp. Fig. 9,p11
chitsazi2025gpcrdock4,**APJ by method — GEnSeMBLE (physics/systematic conformational search)**,best **0.35%** vs X-ray; **0.02%** vs 8XZI,percentile,Fig 5A / Supp. Fig. 9,p11
chitsazi2025gpcrdock4,**APJ by method — conventional homology**,best **0.04%** (11 models) vs X-ray; 0.2% vs 8XZI,percentile,Fig 5A / Supp. Fig. 9,p11
chitsazi2025gpcrdock4,**GPR139 by method — conventional homology**,best **0.82%** (44 models),percentile,Fig 5A,p11
chitsazi2025gpcrdock4,"**Head-to-head verdict, small molecules**","""AlphaFold2-generated models seem to have performed best for both small-molecule targets (Fig. 5A)""",—,Fig 5A,p11
chitsazi2025gpcrdock4,"**Head-to-head verdict, peptides**","docking to homology model / apo AF2 model / experimental structure all ""well below 1%""; co-folding with AF-Multimer is ""the real improvement"" for NPY1R and NMUR2, but failed for OPRK",percentile,Fig 5C,p11
chitsazi2025gpcrdock4,TM domain backbone RMSD < 1 Å,APJ 70%; GPR139 ~3%; OPRK ~33%; NPY1R 17.42%; NMUR2 12.5%,% of models,gold-standard answers,p10–p11
chitsazi2025gpcrdock4,ECL1 backbone RMSD < 1 Å,APJ 16.5% (21.4% vs 8XZI); GPR139 0%; OPRK 2 models; NPY1R 26.45%; NMUR2 4.6%,% of models,gold-standard answers,p10–p11
chitsazi2025gpcrdock4,ECL2 backbone RMSD < 1 Å,APJ 4.85%; GPR139 0%; OPRK 0%; NPY1R 0% (also 0% at <2 Å); NMUR2 0% at <2 Å,% of models,gold-standard answers,p10–p11
chitsazi2025gpcrdock4,ECL3 backbone RMSD < 1 Å,APJ **0% of 206**; GPR139 0%; OPRK 0%; NPY1R 0% (also 0% at <2 Å); NMUR2 15.79% at <2 Å,% of models,gold-standard answers,p10–p11
chitsazi2025gpcrdock4,"ECL RMSD < 2 Å, OPRK","ECL1 56.57%, ECL2 38.29%, ECL3 47.43%",% of models,PDB 8F7W,p10
chitsazi2025gpcrdock4,"ECL RMSD < 3 Å, NPY1R","ECL2 46.45%, ECL3 59.35%",% of models,PDB 7X9A,p10
chitsazi2025gpcrdock4,Overall ECL2 spread across models,0.5–16 Å,Å backbone RMSD,all targets,p10
chitsazi2025gpcrdock4,"**Experimental-vs-experimental disagreement, APJ**",**9.9 Å** MCS RMSD between Cmpd6 (X-ray 2.40 Å) and CMF-019 (8XZI 2.70 Å) after TM superposition; complete pose flip,Å,structure vs structure,p4–p5
chitsazi2025gpcrdock4,"Experimental disagreement, GPR139",pairwise ligand RMSD 0.4–2.8 Å across 4 structures + 2 alternate conformers; W170(ECL2) lowered >3 Å in 7VUG; vertical shifts up to 1.8 Å,Å,structure vs structure,p5
chitsazi2025gpcrdock4,"Experimental disagreement, OPRK",2.87 Å backbone RMSD between dynorphin N-termini in 7Y1F and 8F7W,Å,structure vs structure,p5
chitsazi2025gpcrdock4,"Experimental disagreement, NPY1R",2.0 Å heavy-atom peptide RMSD; TM helices systematically 1–1.5 Å shorter in 7X9A (44.08 vs 45.58 Å R254(6.26)–T284(6.56)),Å,structure vs structure,p5
chitsazi2025gpcrdock4,"Experimental disagreement, NMUR2",2.65 Å backbone / **4.03 Å** all-heavy-atom peptide RMSD; Phe19 and Leu20 point in opposite directions,Å,structure vs structure,p5
chitsazi2025gpcrdock4,Scoring background set,"34,317 pairs of PDB complexes representing 1,390 proteins, frozen at the 2013 PDB",pairs / proteins,—,"p22, p13"
chitsazi2025gpcrdock4,Contact-strength thresholds,"dmin = 3.23 Å (strength 1), dmax = 4.63 Å (strength 0), linear between; clash penalty Σ(dmin/d − 1) > 3,000 ⇒ sterically impossible",Å / unitless,—,p22
chitsazi2025gpcrdock4,"AF3-era arm, APJ/Cmpd6","""none of the four methods predicted the CMF-019-like geometry (similar to PDB 8xzi) and **only Boltz-1** predicted the geometry similar to our X-ray structure of APJ/Cmpd6""",qualitative,APJ21 X-ray and PDB 8XZI,p12
chitsazi2025gpcrdock4,"AF3-era arm, GPR139","""only Boltz-1 predictions reached the accuracy of the best models in this assessment""",qualitative,PDB 7VUG,p12
chitsazi2025gpcrdock4,"Cross-round, small molecules",no 2021 small-molecule prediction reached the best 2010 DRD3/eticlopride accuracy; best 2021 approaches best 2013 5HT1B/5HT2B-ergotamine,percentile,GPCR Dock 2010 / 2013,"p12, Fig 5B"
chitsazi2025gpcrdock4,"Cross-round, peptides","all three 2021 peptide targets ""greatly exceeded"" the 2010 CXCR4/CVX15 result",percentile,GPCR Dock 2010,"p12, Fig 5D"
chitsazi2025gpcrdock4,Prior rounds' scale,"1, 3 and 4 complexes of 1, 2 and 3 receptors in 2008, 2010, 2013",complexes / receptors,—,p12
ekstromkelvinius2024discriminator,"MOSES validity, ARDM (no guidance)",82.2,%,dataset,"p8, Table 2"
ekstromkelvinius2024discriminator,"MOSES validity, ARDM\* (matched training time)",82.6,%,dataset,"p8, Table 2"
ekstromkelvinius2024discriminator,"MOSES validity, ARDG",80.5,%,dataset,"p8, Table 2"
ekstromkelvinius2024discriminator,"MOSES validity, BSDG",85.9,%,dataset,"p8, Table 2"
ekstromkelvinius2024discriminator,"MOSES validity, FADG",90.1,%,dataset,"p8, Table 2"
ekstromkelvinius2024discriminator,MOSES metrics on novel molecules only,reported separately,mixed,dataset,"p16, Table 5"
ekstromkelvinius2024discriminator,QM9 metrics,"near ceiling; authors call them ""very good""",mixed,dataset,"p7 Table 1, p15 Table 3"
feldman2026alphainterp,"pTM self-prediction R², **pair** rep, ridge",0.34 (A) → **0.86** (C_N),R²,"AF3's own pTM, 80/20 protein-level split, MSA condition",p5
feldman2026alphainterp,"pTM self-prediction R², **no-MSA** embeddings",0.822,R²,AF3's own pTM,p8
feldman2026alphainterp,"TM-score self-prediction R², **no-MSA** embeddings",0.845,R²,TM-score to PDB,p8
feldman2026alphainterp,"Mean TM-score, **full MSA**, 400 monomers",**0.9363** (std 0.0987),TM-score,experimental PDB,p8
feldman2026alphainterp,"Mean TM-score, **no MSA**, 400 monomers",**0.5388** (std 0.2333),TM-score,experimental PDB,p8
feldman2026alphainterp,"Effective dimensionality (PCs for 95% var), pair, **MSA**",A **16** → B **32** → C₁ **19** → C_N **17**,count,—,"p6, Fig 1B"
feldman2026alphainterp,"Effective dimensionality, pair, **no MSA**",A **17** → B **18** → C₁ **26** → C_N **25**,count,—,"Fig 1B, p4"
